trading_date,selected_symbols,selected_count,daily_return,benchmark_return,avg_buy_probability,daily_cost_rate,daily_return_net,cumulative_return,cumulative_return_net,benchmark_cumulative_return
2025-07-17,"GEE,VHM,VCA,HDG,NVL",5,-0.025156772651814197,0.01653781853177853,0.411247193813324,0.004,-0.029156772651814197,5.972352500975461,2.7883122272747856,0.7093844271197651
2025-07-18,"HAG,GEE,DHA",3,-0.020475968787386556,0.02227524431251451,0.3997242748737335,0.004,-0.024475968787386556,5.829586828790831,2.695589615443133,0.7474613828578656
2025-07-21,ANV,1,0.0664893617021276,0.03929899100388564,0.36913883686065674,0.004,0.0624893617021276,6.283681697726391,2.9265246516251855,0.8161348520224345
2025-07-22,VJC,1,0.16322517207472953,-0.0033112005202850974,0.4353260397911072,0.004,0.15922517207472953,7.472561896175339,3.551726214935873,0.8101212653555099
2025-07-23,"VJC,VDS,CSV,PC1",4,0.004272445685969323,-0.001874613485138857,0.4070819616317749,0.004,0.00027244568596932264,7.508760456697761,3.552966313106846,0.8067279876217379
2025-07-24,GEE,1,0.01838626348579231,0.00282864120951824,0.3653903007507324,0.004,0.014386263485792309,7.665204768392096,3.6184664861291376,0.8118385728619146
2025-07-25,"VJC,SHS,VDS,ANV",4,0.01120306230346127,-0.00904481048291737,0.3744601309299469,0.004,0.00720306230346127,7.762281597284643,3.6517335879751736,0.795450836344739
2025-07-28,"NHA,SHS,BVS,AGG,VJC",5,0.03128616194847074,-0.007503587941723984,0.4045277535915375,0.004,0.02728616194847074,8.036419758375395,3.7786615439978055,0.7819785130991843
2025-07-29,HAG,1,0.12030075187969924,0.03197540120065658,0.38294684886932373,0.004,0.11630075187969924,9.123507849608526,4.334423474543355,0.8389579909864802
2025-07-30,"AGG,SHS,NHH",3,0.0650619009860316,0.04289485600971832,0.3974989354610443,0.004,0.06106190098603159,9.78216251495107,4.660153512563484,0.9178398292177659
2025-07-31,"PC1,NAF,AGG,NHH",4,0.019849125297344672,0.03418773418664983,0.4146304130554199,0.004,0.015849125297344672,9.996179009686667,4.7498619947863085,0.9834064275116328
2025-08-01,"PC1,FCN,NAF,NVL,VOS",5,0.047228160495950314,0.04331195932573317,0.3987407982349396,0.004,0.04322816049595031,10.51550831679835,4.998417951926497,1.0693116460264145
2025-08-04,"NVL,TPB,CTI,ANV,NAF",5,0.05995744006861512,0.04397380656062332,0.4090087413787842,0.004,0.055957440068615125,11.205948716562427,5.334074064977929,1.1603071560624247
